39, State-gov
50, Self-emp-not-inc
38, Private
53, Private
28, Private
37, Private
49, Private
52, Self-emp-not-inc
31, Private
42, Private
37, Private
30, State-gov
23, Private
32, Private
40, Private
34, Private
25, Self-emp-not-inc
32, Private
38, Private
43, Self-emp-not-inc
40, Private
54, Private
35, Federal-gov
43, Private
59, Private
56, Local-gov
19, Private
54, ?
39, Private
49, Private
23, Local-gov
20, Private
45, Private
30, Federal-gov
22, State-gov
48, Private
21, Private
19, Private
31, Private
48, Self-emp-not-inc
31, Private
53, Self-emp-not-inc
24, Private
49, Private
25, Private
57, Federal-gov
53, Private
44, Private
41, State-gov
29, Private
25, Private
18, Private
47, Private
50, Federal-gov
47, Self-emp-inc
43, Private
46, Private
35, Private
41, Private
30, Private
30, Private
32, ?
48, Private
42, Private
29, Private
36, Private
28, Private
53, Private
49, Self-emp-inc
25, ?
19, Private
31, Private
29, Self-emp-not-inc
23, Private
79, Private
27, Private
40, Private
67, ?
18, Private
31, Local-gov
18, Private
52, Private
46, Private
59, Private
44, Private
53, Private
49, Local-gov
33, Private
30, Private
43, Federal-gov
57, Private
37, Private
28, Private
30, Private
34, Local-gov
29, Local-gov
48, Self-emp-not-inc
37, Private
48, Private
32, Federal-gov
76, Private
44, Private
47, Self-emp-not-inc
20, Private
29, Private
32, Self-emp-inc
17, ?
30, Private
31, Local-gov
42, Private
24, Private
38, Private
56, Self-emp-not-inc
28, Private
36, Private
53, Private
56, Self-emp-inc
49, Local-gov
55, Private
22, Private
21, Private
40, Private
30, Private
29, State-gov
19, Private
47, Private
20, Private
31, Private
35, ?
39, Private
28, Private
24, Private
38, Self-emp-not-inc
37, Private
46, Private
38, Federal-gov
43, Self-emp-not-inc
27, Private
20, Private
49, Private
61, Self-emp-inc
27, Private
19, Private
45, Private
70, Private
31, Private
22, Private
36, Private
64, Private
43, ?
47, Local-gov
34, Private
33, Private
21, Private
52, ?
48, Private
23, Private
71, Self-emp-not-inc
29, Private
42, Private
68, ?
25, Private
44, Self-emp-inc
28, Private
45, Self-emp-not-inc
36, Private
39, Federal-gov
46, State-gov
18, Private
66, Local-gov
27, Private
28, State-gov
51, Private
27, Private
28, State-gov
27, Private
21, Private
34, Private
18, Private
33, Private
44, Local-gov
43, Private
30, Private
40, Private
37, Federal-gov
34, Private
41, Self-emp-not-inc
53, ?
31, Private
58, State-gov
38, Private
24, Private
41, Local-gov
47, Private
41, Federal-gov
23, Private
36, Private
40, Federal-gov
35, Private
24, Self-emp-not-inc
26, Private
19, ?
51, Private
42, Local-gov
37, State-gov
18, Private
36, Private
35, Private
58, Self-emp-inc
17, Private
44, Local-gov
37, Private
35, Private
60, Private
54, Self-emp-inc
37, Private
50, Private
38, Private
45, Private
25, Private
31, Private
64, ?
90, Private
54, Private
53, Local-gov
18, Private
60, ?
66, Self-emp-not-inc
75, Private
65, Private
35, Private
41, Private
25, Private
33, Private
28, Private
59, State-gov
40, State-gov
41, Private
38, Local-gov
23, Private
40, Private
41, Self-emp-not-inc
24, State-gov
20, ?
38, Private
56, Private
58, Private
32, Private
40, Private
45, Private
41, Private
42, Private
59, Local-gov
19, Local-gov
58, Private
42, Self-emp-not-inc
20, Private
32, Private
45, Private
50, Private
36, Private
45, Private
17, Private
59, Private
26, Private
37, Self-emp-inc
19, ?
64, Private
33, Private
33, Private
61, Private
17, Private
50, Self-emp-not-inc
27, Local-gov
30, Private
43, Private
44, Private
35, Private
25, Private
24, Private
22, Private
42, Local-gov
34, Private
60, Private
21, Private
57, Federal-gov
41, Private
50, Private
25, Private
50, Private
36, Private
31, Private
29, Local-gov
21, Private
27, Private
65, Private
37, Self-emp-inc
39, ?
24, Private
38, Private
48, Private
21, Private
31, Private
55, Private
24, Private
43, Private
26, Private
46, Private
35, Private
41, Self-emp-inc
26, Private
34, Private
19, ?
36, Self-emp-not-inc
22, Private
24, Private
77, Self-emp-not-inc
22, Private
29, Private
62, Private
39, Self-emp-not-inc
43, Private
35, Private
29, Private
76, Self-emp-not-inc
63, Self-emp-not-inc
23, ?
43, Private
58, Self-emp-not-inc
66, Private
41, Private
26, Private
47, Private
55, Local-gov
53, Private
17, Private
30, Private
49, Private
19, Private
45, Private
26, Private
38, Private
36, State-gov
33, Private
22, State-gov
43, Self-emp-not-inc
67, ?
30, ?
56, Private
31, Private
33, Private
26, Private
33, Private
46, Local-gov
59, ?
38, Federal-gov
65, Private
40, Private
42, Private
26, Self-emp-not-inc
36, Private
62, Private
43, Private
43, Private
22, Private
28, Private
56, Self-emp-not-inc
22, Private
57, Private
39, Private
26, Federal-gov
17, Private
40, State-gov
45, Private
44, Private
20, Local-gov
33, Private
23, Private
46, Self-emp-not-inc
38, Private
54, Private
46, Private
25, Private
46, Private
36, Local-gov
23, Private
29, Private
44, Private
19, Private
19, Private
35, Private
27, Private
46, Self-emp-not-inc
34, State-gov
34, Private
44, Private
45, Private
20, ?
25, Private
52, Self-emp-inc
